# number of receivers
595
# name (9 chars), lat, lon, "1/weight" (unused in cSEM)
GEOS._INU   35.350  137.029 0.00
Cana.INUQ   58.451  -78.119 0.00
__CI._ISA   35.663 -118.474 0.00
Calt._ISA   35.663 -118.473 0.00
ANSS.ISCO   39.800 -105.613 0.00
Pass.ISDE  -80.000 -134.993 0.00
GEOF._ISP   37.843   30.509 0.00
_NOA._ITM   37.179   21.925 0.00
GEOS._IVI   61.206  -48.171 0.00
Cana.IVKQ   62.418  -77.911 0.00
Berk._JCC   40.817 -124.030 0.00
TERR._JCS   33.086 -116.596 0.00
ANSS._JCT   30.479  -99.802 0.00
GEOF._JER   31.772   35.197 0.00
Cana.JERN   66.019 -111.467 0.00
ANSS.JFWS   42.914  -90.248 0.00
_GSN.JOHN   16.733 -169.529 0.00
_GSN._JTS   10.291  -84.952 0.00
GEOF.KAAM    0.493   72.995 0.00
_GSN.KAPI   -5.014  119.752 0.00
Cana.KAPO   49.450  -82.508 0.00
_GSN._KBS   78.926   11.942 0.00
GEOF._KBS   78.926   11.942 0.00
GEOF._KBU   34.515   69.135 0.00
_GSN.KDAK   57.783 -152.583 0.00
_GSN._KEV   69.755   27.007 0.00
_New._KHZ  -42.416  173.539 0.00
_GSN.KIEV   50.694   29.208 0.00
_GSN._KIP   21.423 -158.015 0.00
GEOS._KIP   21.423 -158.015 0.00
_GSN._KIV   43.955   42.686 0.00
KAZA.KKAR   43.103   70.511 0.00
Mala._KKM    6.044  116.215 0.00
Aust.KMBL  -31.367  121.882 0.00
Perm.KMBO   -1.127   37.252 0.00
_GSN.KMBO   -1.127   37.252 0.00
GEOF.KMBO   -1.127   37.252 0.00
_CDS._KMI   25.123  102.740 0.00
IRIS._KMI   25.123  102.740 0.00
_NCD._KMI   25.123  102.740 0.00
Free._KMT   33.678  135.490 0.00
_GSN.KNTN   -2.774 -171.719 0.00
GEOS._KOG    5.207  -52.732 0.00
_GSN.KONO   59.649    9.598 0.00
_GSN.KOWA   14.497   -4.014 0.00
GEOF.KRIS   35.178   25.503 0.00
GEOF.KSDI   33.192   35.659 0.00
_CTS._KSH   39.517   75.923 0.00
Mala._KSM    1.473  110.308 0.00
ANSS.KSU1   39.101  -96.609 0.00
Dani.KULL   74.580  -57.220 0.00
Mala._KUM    5.290  100.649 0.00
_GSN.KURK   50.715   78.620 0.00
_GSN.KWAJ    8.802  167.613 0.00
GEOF._KWP   49.631   22.708 0.00
Free._KYK   30.378  130.410 0.00
GEOF.LAST   35.161   25.479 0.00
Glob.LBTB  -25.015   25.597 0.00
